,CHIQAP_TOKEN_CHIQAQ,CHIQAP_TOKEN_MANA_CHIQAQ,CHIQI_KAY_TOKEN,COMA_TOKEN,DOS_PUNTOS_TOKEN,HATUN_RURAY_TOKEN,IDENTIFICADOR_TOKEN,LLAVE_ABRE,LLAVE_CIERRA,OPERADOR_ASIGNACION,OPERADOR_IGUALDAD,OPERADOR_LOGICO_UTAQ,OPERADOR_LOGICO_WAN,OPERADOR_MANA_IGUAL,OPERADOR_MAS,OPERADOR_MAYOR,OPERADOR_MAYOR_IGUAL,OPERADOR_MENOR,OPERADOR_MENOR_IGUAL,OPERADOR_MENOS,OPERADOR_MODULO,OPERADOR_PACHA,OPERADOR_RAKI,PALABRA_RESERVADA_IMPRIMIY,PALABRA_RESERVADA_KUTIPAY,PALABRA_RESERVADA_MANA_SICHUS,PALABRA_RESERVADA_PAKIY,PALABRA_RESERVADA_PARA,PALABRA_RESERVADA_RURAY,PALABRA_RESERVADA_SICHUS,PALABRA_RESERVADA_VAR,PARENTESIS_ABRE,PARENTESIS_CIERRA,PUNTO_Y_COMA_TOKEN,QILLQA_TOKEN,TIPO_CHIQAP,TIPO_CHIQI,TIPO_QILLQA,TIPO_YUPAY,YUPAY_TOKEN,$
MulOpSum,,,,,,,,,,,,,,,OPERADOR_MAS,,,,,,,,,,,,,,,,,,,,,,,,,,
MulOpRes,,,,,,,,,,,,,,,,,,,,OPERADOR_MENOS,,,,,,,,,,,,,,,,,,,,,
Unidad,Dato,Dato,Dato,,,,ValorUnitario,,,,,,,,,,,,,,,,,,,,,,,,,PARENTESIS_ABRE Expression PARENTESIS_CIERRA,,,Dato,,,,,Dato,
ValorUnitario,,,,,,,IDENTIFICADOR_TOKEN ValorUnitarioRest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ValorUnitarioRest,,,,epsilon,,,,,,,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,,,,,,,,,PARENTESIS_ABRE ArgumentosFuncionOpt PARENTESIS_CIERRA,epsilon,epsilon,,,,,,,
ArgumentosFuncionOpt,Expression MasArgumentosFuncion,Expression MasArgumentosFuncion,Expression MasArgumentosFuncion,,,,Expression MasArgumentosFuncion,,,,,,,,,,,,,,,,,,,,,,,,,Expression MasArgumentosFuncion,epsilon,,Expression MasArgumentosFuncion,,,,,Expression MasArgumentosFuncion,
MasArgumentosFuncion,,,,COMA_TOKEN Expression MasArgumentosFuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,,
Bucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,ForLoop,,,,,,,,,,,,,
ForLoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_PARA PARENTESIS_ABRE LoopInitialization PUNTO_Y_COMA_TOKEN ExpressionOpt PUNTO_Y_COMA_TOKEN LoopUpdateOpt PARENTESIS_CIERRA Block,,,,,,,,,,,,,
LoopInitialization,,,,,,,IDENTIFICADOR_TOKEN DOS_PUNTOS_TOKEN OPERADOR_ASIGNACION AsignacionBucle,,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,
